"Category","Fuel","Segment","Euro Standard","Stock [n]","Mean Activity [km]","Lifetime Cumulative Activity [km]",
"Passenger Cars","Petrol","Mini","Euro 4",0,0,0,
"Passenger Cars","Petrol","Mini","Euro 5",0,0,0,
"Passenger Cars","Petrol","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol","Mini","Euro 7",0,0,0,
"Passenger Cars","Petrol","Small","PRE ECE",0,0,0,
"Passenger Cars","Petrol","Small","ECE 15/00-01",0,0,0,
"Passenger Cars","Petrol","Small","ECE 15/02",0,0,0,
"Passenger Cars","Petrol","Small","ECE 15/03",0,0,0,
"Passenger Cars","Petrol","Small","ECE 15/04",0,0,0,
"Passenger Cars","Petrol","Small","Improved Conventional",0,0,0,
"Passenger Cars","Petrol","Small","Open Loop",0,0,0,
"Passenger Cars","Petrol","Small","Euro 1",0,0,0,
"Passenger Cars","Petrol","Small","Euro 2",0,0,0,
"Passenger Cars","Petrol","Small","Euro 3",0,0,0,
"Passenger Cars","Petrol","Small","Euro 4",0,0,0,
"Passenger Cars","Petrol","Small","Euro 5",0,0,0,
"Passenger Cars","Petrol","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol","Small","Euro 7",0,0,0,
"Passenger Cars","Petrol","Medium","PRE ECE",0,0,0,
"Passenger Cars","Petrol","Medium","ECE 15/00-01",0,0,0,
"Passenger Cars","Petrol","Medium","ECE 15/02",0,0,0,
"Passenger Cars","Petrol","Medium","ECE 15/03",0,0,0,
"Passenger Cars","Petrol","Medium","ECE 15/04",0,0,0,
"Passenger Cars","Petrol","Medium","Improved Conventional",0,0,0,
"Passenger Cars","Petrol","Medium","Open Loop",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 1",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 2",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 3",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 4",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 5",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol","Medium","Euro 7",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","PRE ECE",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/00-01",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/02",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/03",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/04",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 1",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 2",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 3",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 4",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 5",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","Petrol","2-Stroke","Conventional",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 4",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 5",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol Hybrid","Mini","Euro 7",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 4",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 5",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol Hybrid","Small","Euro 7",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 4",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 5",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol Hybrid","Medium","Euro 7",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 4",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 5",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","Petrol PHEV","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol PHEV","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol PHEV","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol PHEV","Small","Euro 7",0,0,0,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol PHEV","Medium","Euro 7",0,0,0,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 d-temp",0,0,0,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 d/e",0,0,0,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 7",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 4",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 5",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 6 d-temp",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 6 d/e",0,0,0,
"Passenger Cars","Diesel","Mini","Euro 7",0,0,0,
"Passenger Cars","Diesel","Small","Conventional",0,0,0,
"Passenger Cars","Diesel","Small","Euro 1",0,0,0,
"Passenger Cars","Diesel","Small","Euro 2",0,0,0,
"Passenger Cars","Diesel","Small","Euro 3",0,0,0,
"Passenger Cars","Diesel","Small","Euro 4",0,0,0,
"Passenger Cars","Diesel","Small","Euro 5",0,0,0,
"Passenger Cars","Diesel","Small","Euro 6 a/b/c",0,0,0,
"Passenger Cars","Diesel","Small","Euro 6 d-temp",0,0,0,
"Passenger Cars","Diesel","Small","Euro 6 d/e",0,0,0,
"Passenger Cars","Diesel","Small","Euro 7",0,0,0,
"Passenger Cars","Diesel","Medium","Conventional",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 1",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 2",0,0,0,
"Passenger Cars","Diesel","Medium","Euro 3",0,0,0,
