"Category","Fuel","Segment","Euro Standard","Include",
"Passenger Cars","Petrol","Mini","Euro 4",False,
"Passenger Cars","Petrol","Mini","Euro 5",False,
"Passenger Cars","Petrol","Mini","Euro 6 a/b/c",False,
"Passenger Cars","Petrol","Mini","Euro 6 d-temp",False,
"Passenger Cars","Petrol","Mini","Euro 6 d/e",False,
"Passenger Cars","Petrol","Mini","Euro 7",False,
"Passenger Cars","Petrol","Small","PRE ECE",False,
"Passenger Cars","Petrol","Small","ECE 15/00-01",False,
"Passenger Cars","Petrol","Small","ECE 15/02",False,
"Passenger Cars","Petrol","Small","ECE 15/03",False,
"Passenger Cars","Petrol","Small","ECE 15/04",False,
"Passenger Cars","Petrol","Small","Improved Conventional",False,
"Passenger Cars","Petrol","Small","Open Loop",False,
"Passenger Cars","Petrol","Small","Euro 1",False,
"Passenger Cars","Petrol","Small","Euro 2",False,
"Passenger Cars","Petrol","Small","Euro 3",False,
"Passenger Cars","Petrol","Small","Euro 4",False,
"Passenger Cars","Petrol","Small","Euro 5",False,
"Passenger Cars","Petrol","Small","Euro 6 a/b/c",False,
"Passenger Cars","Petrol","Small","Euro 6 d-temp",False,
"Passenger Cars","Petrol","Small","Euro 6 d/e",False,
"Passenger Cars","Petrol","Small","Euro 7",False,
"Passenger Cars","Petrol","Medium","PRE ECE",False,
"Passenger Cars","Petrol","Medium","ECE 15/00-01",False,
"Passenger Cars","Petrol","Medium","ECE 15/02",False,
"Passenger Cars","Petrol","Medium","ECE 15/03",False,
"Passenger Cars","Petrol","Medium","ECE 15/04",False,
"Passenger Cars","Petrol","Medium","Improved Conventional",False,
"Passenger Cars","Petrol","Medium","Open Loop",False,
"Passenger Cars","Petrol","Medium","Euro 1",False,
"Passenger Cars","Petrol","Medium","Euro 2",False,
"Passenger Cars","Petrol","Medium","Euro 3",False,
"Passenger Cars","Petrol","Medium","Euro 4",False,
"Passenger Cars","Petrol","Medium","Euro 5",False,
"Passenger Cars","Petrol","Medium","Euro 6 a/b/c",False,
"Passenger Cars","Petrol","Medium","Euro 6 d-temp",False,
"Passenger Cars","Petrol","Medium","Euro 6 d/e",False,
"Passenger Cars","Petrol","Medium","Euro 7",False,
"Passenger Cars","Petrol","Large-SUV-Executive","PRE ECE",False,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/00-01",False,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/02",False,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/03",False,
"Passenger Cars","Petrol","Large-SUV-Executive","ECE 15/04",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 1",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 2",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 3",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 4",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 5",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 a/b/c",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 d-temp",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 6 d/e",False,
"Passenger Cars","Petrol","Large-SUV-Executive","Euro 7",False,
"Passenger Cars","Petrol","2-Stroke","Conventional",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 4",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 5",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 a/b/c",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 d-temp",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 6 d/e",False,
"Passenger Cars","Petrol Hybrid","Mini","Euro 7",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 4",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 5",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 a/b/c",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 d-temp",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 6 d/e",False,
"Passenger Cars","Petrol Hybrid","Small","Euro 7",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 4",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 5",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 a/b/c",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 d-temp",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 6 d/e",False,
"Passenger Cars","Petrol Hybrid","Medium","Euro 7",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 4",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 5",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 a/b/c",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 d-temp",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 6 d/e",False,
"Passenger Cars","Petrol Hybrid","Large-SUV-Executive","Euro 7",False,
"Passenger Cars","Petrol PHEV","Small","Euro 6 a/b/c",False,
"Passenger Cars","Petrol PHEV","Small","Euro 6 d-temp",False,
"Passenger Cars","Petrol PHEV","Small","Euro 6 d/e",False,
"Passenger Cars","Petrol PHEV","Small","Euro 7",False,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 a/b/c",False,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 d-temp",False,
"Passenger Cars","Petrol PHEV","Medium","Euro 6 d/e",False,
"Passenger Cars","Petrol PHEV","Medium","Euro 7",False,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 a/b/c",False,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 d-temp",False,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 6 d/e",False,
"Passenger Cars","Petrol PHEV","Large-SUV-Executive","Euro 7",False,
"Passenger Cars","Diesel","Mini","Euro 4",False,
"Passenger Cars","Diesel","Mini","Euro 5",False,
"Passenger Cars","Diesel","Mini","Euro 6 a/b/c",False,
"Passenger Cars","Diesel","Mini","Euro 6 d-temp",False,
"Passenger Cars","Diesel","Mini","Euro 6 d/e",False,
"Passenger Cars","Diesel","Mini","Euro 7",False,
"Passenger Cars","Diesel","Small","Conventional",False,
"Passenger Cars","Diesel","Small","Euro 1",False,
"Passenger Cars","Diesel","Small","Euro 2",False,
"Passenger Cars","Diesel","Small","Euro 3",False,
"Passenger Cars","Diesel","Small","Euro 4",False,
"Passenger Cars","Diesel","Small","Euro 5",False,
"Passenger Cars","Diesel","Small","Euro 6 a/b/c",False,
"Passenger Cars","Diesel","Small","Euro 6 d-temp",False,
"Passenger Cars","Diesel","Small","Euro 6 d/e",False,
"Passenger Cars","Diesel","Small","Euro 7",False,
"Passenger Cars","Diesel","Medium","Conventional",False,
"Passenger Cars","Diesel","Medium","Euro 1",False,
"Passenger Cars","Diesel","Medium","Euro 2",False,
"Passenger Cars","Diesel","Medium","Euro 3",False,
"Passenger Cars","Diesel","Medium","Euro 4",False,
"Passenger Cars","Diesel","Medium","Euro 5",False,
"Passenger Cars","Diesel","Medium","Euro 6 a/b/c",False,
"Passenger Cars","Diesel","Medium","Euro 6 d-temp",False,
"Passenger Cars","Diesel","Medium","Euro 6 d/e",False,
"Passenger Cars","Diesel","Medium","Euro 7",False,
"Passenger Cars","Diesel","Large-SUV-Executive","Conventional",False,
