CLASE,2018,2019,2020,2021,2022,2023,2024,2025,2026
AUTOMÓVIL,160411,164916,161884,165310,170264,172158,174521,177506,178003
BUS,4514,4972,3583,3564,3837,3884,3963,4020,4024
BUSETA,4045,4924,3579,3549,3570,3576,3581,3592,3596
CAMIÓN,17405,17320,16665,17332,18449,18856,19237,19832,19970
CAMIONETA,60173,62819,64906,68036,70929,73583,77676,83904,84982
CAMPERO,23883,23759,23498,23870,24464,24764,25137,25716,25804
MICRO BUS,3856,4653,3431,3431,3609,3622,3640,3669,3672
TRACTO CAMIÓN,5983,6207,5688,5916,6583,6733,6839,7057,7098
VOLQUETA,3047,3095,3076,3197,3311,3343,3360,3412,3415
MOTOCICLETA,410651,445045,462379,493521,528835,556080,590377,637822,647059
MOTOCARRO,1009,1151,1348,1728,2213,2567,2959,3591,3730
MOTO TRICICLO,28,8,9,10,13,13,14,14,14
CICLOMOTOR,0,73,125,154,196,248,312,378,379
CUATRIMOTO,223,223,233,238,251,252,256,264,264
CUADRICICLO,0,11,11,20,25,26,26,29,29
SEMIRREMOLQUE,486,6453,6863,7348,9115,9509,9818,10290,10411
REMOLQUE,7280,1414,1455,1600,1868,1881,1894,1915,1921
